file = GEDI02_A_2019175115613_O03007_03_T02893_02_003_01_V002
beam = BEAM1011
shot = 30071100300208676


rh,wf,wf_ground_gau,wf_ground_mir,wf_nogroud_gau,wf_noground_mir,rh_noground_gau,rh_noground_mir
-0.18,0.13452358245849627,0.20934359202786268,0.13452358245849627,-0.07482000956936641,0.0,3.903889518699716,3.371451568186555
-0.11,0.2110389709472651,0.2104044163811352,0.2110389709472651,0.0006345545661299024,0.0,3.965115017012056,3.4510385931322296
-0.07,0.21103928565979047,0.21078195935422894,0.21103928565979047,0.0002573263055615227,0.0,4.026340515324397,3.5327281239060717
0.0,0.14285714149475037,0.21103928565979047,0.14285714149475037,-0.06818214416504009,0.0,4.091257898612015,3.625324054425297
0.07,0.21103861808776792,0.21078195935422894,0.21103928565979047,0.0002566587335389725,-6.675720225501891e-07,4.1572354730132215,3.720195967696606
0.11,0.2110389709472662,0.2104044163811352,0.2110389709472651,0.0006345545661310126,1.1102230246251565e-15,4.22321304741443,3.824552360192216
0.18,0.1345240831375123,0.20934359202786268,0.13452358245849627,-0.07481950889035038,5.006790160244634e-07,4.288423973073897,3.9425057401039982
0.26,0.27651503086090123,0.2075167955424828,0.13452364444732678,0.06899823531841842,0.14199138641357445,4.351765803067712,4.068170403083337
0.29,0.27651514053344584,0.206665980866999,0.16731586683584934,0.06984915966644684,0.1091992736975965,4.4151076330615275,4.206888472100589
0.37,0.13452405095100373,0.20396674368000298,0.21103886604309086,-0.06944269272899925,-0.07651481509208713,4.478058072244942,4.316261096059868
0.44,0.13452378034591694,0.20110737616005014,0.1345238637924191,-0.0665835958141332,-8.344650215263982e-08,4.540528488816422,4.401138024009565
0.52,0.20833385467529375,0.19729818282139966,0.1345237982273102,0.011035671853894091,0.07381005644798355,4.602998905387902,4.476874206150502
0.56,0.2110382413864138,0.1951873053322067,0.17824651223592924,0.015850936054207093,0.03279172915048456,4.665469321959382,4.540209128005544
0.63,0.13452377676963856,0.19118057491359386,0.20833359718322786,-0.0566567981439553,-0.0738098204135893,4.727487197941115,4.603544049860587
0.71,0.13452388525009162,0.18614504859898234,0.1345238018035888,-0.05162116334889072,8.344650281877364e-08,4.7893679096290525,4.666878971715629
0.78,0.13452384352683966,0.18137307308087167,0.13452376008033728,-0.04684922955403201,8.344650237468443e-08,4.85124862131699,4.730213989459287
0.86,0.13452373027801467,0.1755436963828946,0.13452381372451794,-0.04101996610487993,-8.344650326286285e-08,4.913776961261882,4.793549032258489
0.93,0.13452377200126664,0.17015146137159767,0.12265524387359616,-0.035627689370331034,0.011868528127670475,4.976411979392114,4.856884075057692
1.01,0.13452370405197156,0.16370156539386307,0.11392117712970445,-0.029177861341891514,0.020602526922267106,5.039046997522345,4.921294063368817
1.08,0.13452373623848013,0.15784556791987717,0.12258481672240501,-0.023321831681397037,0.01193891951607512,5.101193974148593,4.985759675219423
1.16,0.1345238590240485,0.1509573541510802,0.1267542887916088,-0.016433495127031683,0.00776957023243971,5.161212244566491,5.050225287070028
1.23,0.13452373385429395,0.14479813112249257,0.12092724005381277,-0.01027439726819862,0.013596493800481183,5.2212305149843905,5.113757431400648
1.31,0.13452386140823336,0.1376542258610639,0.12092729568481464,-0.0031303644528305474,0.013596565723418719,5.28122514987745,5.175785832402803
1.38,0.1345236504077909,0.13134917557970752,0.12265504837036145,0.00317447482808339,0.011868602037429454,5.340107274972511,5.237814233404957
1.46,0.1106457567214969,0.12412481833150378,0.09693200279784542,-0.013479061610006879,0.013713753923651484,5.398989400067571,5.299507582176882
1.57,0.122655491828918,0.11423957449800667,0.08728589812915678,0.008415917330911321,0.03536959369976121,5.4578715251626315,5.360488593330588
1.64,0.13452385425567615,0.10802349854677373,0.08827404608711618,0.026500355708902412,0.04624980816855996,5.522460320719412,5.421469604484295
1.72,0.1345238542556757,0.10103015779445262,0.09090908050537116,0.03349369646122308,0.043614773750304536,5.587263141810838,5.484736038782164
1.79,0.12092727899551381,0.09503461109073158,0.08438228447524229,0.02589266790478223,0.03654499452027152,5.652065962902265,5.5519247928904045
1.91,0.12092753410339441,0.08508813544352763,0.08065272394812238,0.03583939865986678,0.040274810155272026,5.71951852916905,5.619113546998646
1.98,0.1345237231254579,0.07951028245547732,0.08065276622772216,0.05501344066998058,0.053870956897735744,5.790712087119197,5.6863023011068865
