ADM0_NAME,ADM1_NAME,ADM2_NAME,ADM0_CODE,ADM1_CODE,ADM2_CODE,rh50_x10_mean,rh50_x10_median,rh50_x10_stdDev,rh50_x10_min,rh50_x10_max,rh50_x10_count,rh50_x10_p10,rh50_x10_p25,rh50_x10_p75,rh50_x10_p90,rh_non_ground50_x10_mean,rh_non_ground50_x10_median,rh_non_ground50_x10_stdDev,rh_non_ground50_x10_min,rh_non_ground50_x10_max,rh_non_ground50_x10_count,rh_non_ground50_x10_p10,rh_non_ground50_x10_p25,rh_non_ground50_x10_p75,rh_non_ground50_x10_p90
Italy,Abruzzi,Teramo,122,1616,18320,33.70446590632967,9.434156801265043,50.17723113436632,-34,706,63267,-1.9781736879828486,1.307403963873318,53.44286057541631,109.465,76.00253542874005,65.52247453495458,42.25628027756301,0,727,63267,37.80504173064938,45.47444218699137,93.43267570357253,129.4856278366112
Italy,Basilicata,Matera,122,1617,18321,27.193183197461465,5.32082519255423,41.93330780918664,-33,624,104824,-2.0444913530712827,1.3901306997744092,41.5146339543722,89.34789122966767,67.11114220033913,57.46127846709168,35.44400522236596,0,748,104824,37.690040198669564,41.47727599334841,81.42397087751716,113.49781810270916
Italy,Basilicata,Potenza,122,1617,18322,47.04646810696415,21.484185893996308,55.55743706026827,-41,731,361721,1.4495785470170528,5.38079531914742,81.49130549482625,129.45770667272043,84.96118283965505,73.49599545778867,46.235351178316094,0,862,361721,41.509670580669905,49.46590888188385,105.51669911025438,145.4769620859748
Italy,Calabria,Cosenza,122,1618,18324,53.52651817887478,25.531223248171372,61.30341871698921,-35,760,604917,1.476639579322499,5.384591640468607,89.47695339305683,145.42142487785998,92.7754070649098,77.48091234612167,54.54419461890106,0,885,604917,41.51667847465518,53.48089816044703,117.45600765305196,173.4949705457375
Italy,Calabria,Reggio Calabria,122,1618,18326,58.73291393429222,33.60777406551161,64.62855062875447,-28,826,115571,1.504115271972791,5.399183838039119,97.45575955910701,153.58419783065347,93.75464561813374,77.47115192653224,54.93460478823849,0,739,115571,41.52070422789891,53.502294278422575,117.51266717162014,173.47105062846435
Italy,Campania,Avellino,122,1619,18328,34.05874962688834,9.430776298911017,47.86177165044994,-46,755,124189,1.438465959300709,1.438465959300709,53.37061864510597,105.41611486986449,75.61956180247093,65.48223830608421,41.665696051697424,0,790,124189,37.682893812150326,45.46190662213671,93.43774035374025,129.40815618988054
Italy,Campania,Benevento,122,1619,18329,32.41043661742959,9.434730919814191,50.2429186050124,-36,788,96781,1.4175091617096696,1.4175091617096696,49.45208042018199,101.53572130338306,73.32513482055042,61.4450798308719,45.91293869743559,0,885,96781,37.644094678480066,45.46250448646708,89.48383061547324,121.49218299425684
Italy,Campania,Caserta,122,1619,18330,35.33363230862274,13.350865482289379,46.606590849666446,-49,787,182330,1.4728188576919845,1.4728188576919845,57.64800623025953,101.49282380472444,74.53279618544907,65.51494274396964,40.97789264657546,0,803,182330,37.58299325253652,45.48169114717581,89.49373390624818,125.46716881413472
Italy,Campania,Napoli,122,1619,18332,31.91201049430083,9.42915546863752,47.54161416261199,-35,880,58644,1.474318709992254,1.474318709992254,41.55857300180548,93.60136268876799,75.82095061067062,65.47752647605188,44.17847785255873,0,877,58644,37.62220846530954,45.506375563366724,89.43482295608895,129.53699870469612
Italy,Campania,Salerno,122,1619,18333,43.52187385081971,17.453932332145733,53.82020387352663,-33,802,326900,1.512042613124032,5.41384899261919,73.4190541716605,117.48270460560127,80.96519646093098,69.46762526187025,45.69159045152593,0,807,326900,41.51364912577582,49.465575101836066,101.47039366263797,137.4462055519023
Italy,Emilia-romagna,Bologna,122,1620,18334,40.76959959887358,17.423214576157243,52.51324294608565,-87,722,145165,1.3739652704584393,1.3739652704584393,69.44772252900394,113.48655551734053,81.94894917358168,73.47273134879251,44.42914231229198,0,818,145165,41.51367536883216,53.48363612027736,101.50051830383522,137.45804980973818
Italy,Emilia-romagna,Modena,122,1620,18337,44.97809720870607,17.41549317887324,56.595515502618646,-30,723,106944,1.3986449592300736,5.380760195168966,77.48055728629357,125.44493919641205,86.09160853115564,73.4976601859016,50.07890345769694,0,791,106944,41.51034455974759,53.52461660271089,105.48591811703336,141.50800233325438
Italy,Emilia-romagna,Parma,122,1620,18338,51.93788152722652,29.48690304347982,55.50161559570743,-30,752,221131,1.381048026292242,5.414856478566808,89.4608890770209,129.47346258878315,90.36737208271241,81.50841851058877,44.284212634244724,0,788,221131,45.50120729625497,57.498677684949506,113.47321857522273,145.49794084162252
Italy,Emilia-romagna,Piacenza,122,1620,18339,38.75899164827566,17.44790224683208,47.530330564619234,-106,811,174215,1.3956454473564477,5.407283944383156,65.56290982046737,109.48170011131272,80.34774440551911,73.52502537150252,39.02569393834223,0,880,174215,41.55467128845759,53.49063126929863,101.47167461498738,129.42549871739496
Italy,Emilia-romagna,Ravenna,122,1620,18340,32.98354806035393,9.392473646920658,47.70193296491937,-58,709,55674,1.3876672299984276,1.3876672299984276,49.44274073425041,101.48825508179755,77.6828157568875,65.46939635158469,41.58357577924712,0,742,55674,41.42906437257101,49.47318958056533,97.46629550576893,129.42440156711166
Italy,Emilia-romagna,Reggio Emilia,122,1620,18341,44.540807283958515,17.451660501224403,57.56566063110405,-37,938,99864,1.3782968521650598,5.40049917049199,77.55086889124583,121.56304715903872,86.51482445001344,77.40316067297945,51.51438884232177,0,933,99864,41.53691727333729,53.5123458976047,105.47370949994473,141.43794215898768
Italy,Lazio,Frosinone,122,1622,18347,36.91451224578764,13.35266991231511,48.291357477481505,-145,752,269105,1.4620001915022596,1.4620001915022596,61.57589952894141,105.44427049564086,77.14658854534856,65.47201385648464,42.050262224653814,0,812,269105,37.62650057276694,49.47692336590666,93.47505676835446,129.45654279755263
Italy,Lazio,Latina,122,1622,18348,32.3084733140394,9.402120893164366,46.29882442234391,-30,628,151439,1.5038171666555047,1.5038171666555047,45.42336855217109,101.48084450765272,71.58428913272824,57.47808205181933,40.39212750010335,0,634,151439,37.59415429443518,41.508567305172896,85.51391030089466,125.4311376756789
