rh,wf,gau,mir,wf_noground_gau,wf_noground_mir,wf_noground_neg,rh_noground_gau,rh_noground_mir,rh_noground_neg
-0.71,0.13452382900513826,0.18614486302465486,0.13452382900513826,0.0,0.0,0.0,2.9311065471613147,2.5959581974630446,0.9503242194386552
-0.63,0.20833323192273046,0.19118037023821488,0.20833323192273046,0.0,0.0,0.0,2.9849540064139477,2.647584071357795,1.0016799141417128
-0.59,0.21103886517045445,0.19351755485463384,0.21103886517045445,0.0,0.0,0.0,3.038135831096202,2.6996296815156544,1.0530356134050496
-0.52,0.1345238290051387,0.19729795444882348,0.1345238290051387,0.0,0.0,0.0,3.087910944304136,2.7639495671605294,1.104391309910071
-0.44,0.13452382900513804,0.20110713276668038,0.13452382900513804,0.0,0.0,0.0,3.13768605751207,2.84307353206331,1.1557470023911418
-0.37,0.21103900217487048,0.20396648888026395,0.21103900217487048,0.0,0.0,0.0,3.188838230405309,2.9392625881456027,1.2071026948722123
-0.33,0.21103899061385545,0.20539347615651388,0.21103899061385545,0.0,0.0,0.0,3.2400575442554307,3.02883192542288,1.258458387353283
-0.26,0.13452379467504239,0.2075165264274067,0.13452379467504239,0.0,0.0,0.0,3.29405886987046,3.1064405420005743,1.3098140798343536
-0.18,0.1345238118400851,0.20934331548087007,0.1345238118400851,0.0,0.0,0.0,3.348730305327249,3.1842978478955133,1.3611697875877444
-0.11,0.21103896214322848,0.21040413549820086,0.21103896214322848,0.0,0.0,0.0,3.403478797380581,3.2630357448689526,1.415693266188853
-0.07,0.21103896503348585,0.21078167692458627,0.21103896503348585,0.0,0.0,0.0,3.4593886907682996,3.3447757081794403,1.4726637248033119
0.0,0.14285714224893153,0.21103900217487048,0.14285714224893153,0.0,0.0,0.14285714224893153,3.5152985841560187,3.4268541262486076,1.531888159783472
0.07,0.2110389650334854,0.21078167692458627,0.21103896503348585,0.0002572881088991341,0.0,0.2110389650334854,3.575326614122704,3.5096374491085527,1.5891523859370702
0.11,0.2110389621432296,0.21040413549820086,0.21103896214322848,0.0006348266450287299,1.1102230246251565e-15,0.2110389621432296,3.635732725761217,3.603874699046983,1.6427511234601226
0.18,0.13452381184008555,0.20934331548087007,0.1345238118400851,0.0,4.440892098500626e-16,0.13452381184008555,3.69613883739973,3.699750866236713,1.694106794173402
0.26,0.27651513873149014,0.2075165264274067,0.13452379467504239,0.06899861230408344,0.14199134405644775,0.27651513873149014,3.7603359497654543,3.8077725031149714,1.7468177076978866
0.29,0.27651514142539635,0.20666571519815125,0.1673160121984937,0.0698494262272451,0.10919912922690264,0.27651514142539635,3.824791933411239,3.9271682461411803,1.8015199550758596
0.37,0.13452380892996407,0.20396648888026395,0.21103900217487048,0.0,0.0,0.13452380892996407,3.893079358951493,4.0556932499406075,1.8586498282732464
0.44,0.13452382900513804,0.20110713276668038,0.13452382900513804,0.0,0.0,0.13452382900513804,3.9638276193479802,4.199325200646433,1.9154720750379548
0.52,0.20833323192273046,0.19729795444882348,0.1345238290051387,0.01103527747390698,0.07380940291759175,0.20833323192273046,4.034575879744468,4.3146399785157445,1.969561210286368
0.56,0.21103886517045511,0.19518708519631564,0.17824673473624986,0.015851779974139474,0.03279213043420526,0.21103886517045511,4.1103943316491165,4.402523457217408,2.0214444584473408
0.63,0.13452382900513848,0.19118037023821488,0.20833323192273046,0.0,0.0,0.13452382900513848,4.186633778287524,4.48015152106246,2.0733909134087662
0.71,0.13452382900513804,0.18614486302465486,0.13452382900513826,0.0,0.0,0.13452382900513804,4.262873224925932,4.545729985580691,2.1271167203972943
0.78,0.13452378885481364,0.1813729052611238,0.13452378885481364,0.0,0.0,0.13452378885481364,4.336351636196517,4.611308450098923,2.1860460900399667
0.86,0.13452378885481409,0.1755435497808102,0.13452378885481386,0.0,2.220446049250313e-16,0.13452378885481409,4.409545335279024,4.676886914617154,2.2455565851163524
0.93,0.13452382900513848,0.17015133392082232,0.12265514231198216,0.0,0.011868686693156327,0.13452382900513848,4.482288658267177,4.742465435344085,2.3079950153473794
1.01,0.1345237603449867,0.16370146023009463,0.11392114763830744,0.0,0.020602612706679263,0.1345237603449867,4.5544754705884065,4.808043958872125,2.367837386185483
